,mean_P_Normal,mean_P_Short-Circuit,mean_P_Degradation,mean_P_Open-Circuit,mean_P_Shadowing,pred_class,binary_screened_non_normal,ensemble_anomalous_score_uncalibrated,fold1_pred,fold2_pred,fold3_pred,fold4_pred,fold5_pred
2023-02-24 15:45:00+08:00,0.0018906178801798416,3.1321086015163943e-09,1.4870043576658654e-09,4.003933438974909e-09,0.998109373496774,Shadowing,1,0.9981093821198201,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 16:00:00+08:00,0.0012448537404310864,1.0536120411926702e-10,2.0394829285900385e-10,1.8553341043313817e-09,0.9987551440949254,Shadowing,1,0.998755146259569,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 16:15:00+08:00,0.002384985614156777,2.664329888837522e-12,1.585490718218358e-10,4.637207200862346e-10,0.9976150137609091,Shadowing,1,0.9976150143858432,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 16:30:00+08:00,0.002248708802506996,4.833417804697951e-15,1.8548031340595872e-10,2.9231985797517426e-11,0.9977512909827759,Shadowing,1,0.997751291197493,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 16:45:00+08:00,0.43231438259974536,6.891904223532991e-12,6.302868913302191e-09,1.3191556291559418e-08,0.5676855978989376,Shadowing,1,0.5676856174002547,Normal,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 17:00:00+08:00,0.7550301177043476,1.2117544369146945e-09,6.682425313488061e-09,2.0694473302179813e-08,0.24496985370699936,Normal,0,0.24496988229565242,Normal,Normal,Normal,Normal,Shadowing
2023-02-24 17:15:00+08:00,0.8479818953177917,7.753754270426996e-12,1.0333990914513732e-09,3.8797137356655955e-08,0.15201806484391808,Normal,0,0.15201810468220833,Normal,Normal,Normal,Normal,Normal
2023-02-24 17:30:00+08:00,0.8448036172922719,1.518247090788444e-11,7.819469959257461e-10,8.111371491053032e-08,0.15519630079688373,Normal,0,0.15519638270772806,Normal,Normal,Normal,Normal,Normal
2023-02-24 17:45:00+08:00,0.9575623643445865,2.2816848092839506e-11,4.787465811222129e-10,9.325721487991953e-08,0.042437541896635164,Normal,0,0.042437635655413475,Normal,Normal,Normal,Normal,Normal
2023-02-25 07:30:00+08:00,0.8024106961929489,4.791656842976541e-12,9.974726771073205e-10,3.935531505904782e-08,0.1975892634494717,Normal,0,0.1975893038070511,Normal,Normal,Normal,Normal,Normal
2023-02-25 07:45:00+08:00,0.3688540622206329,1.893144739387116e-12,2.3707414481804707e-09,1.7041916394206455e-08,0.631145918364816,Shadowing,1,0.6311459377793671,Normal,Shadowing,Shadowing,Shadowing,Shadowing
